City,Colors Reported,Shape Reported,State,Time
Ithaca,,TRIANGLE,NY,1930-01-06 22:00:00
Willingboro,,OTHER,NJ,1930-06-30 20:00:00
Holyoke,,OVAL,CO,1931-02-15 14:00:00
Abilene,,DISK,KS,1931-01-06 13:00:00
New York Worlds Fair,,LIGHT,NY,1933-04-18 19:00:00
Valley City,,DISK,ND,1934-09-15 15:30:00
Crater Lake,,CIRCLE,CA,1935-06-15 00:00:00
Alma,,DISK,MI,1936-07-15 00:00:00
Eklutna,,CIGAR,AK,1936-10-15 17:00:00
Hubbard,,CYLINDER,OR,1937-06-15 00:00:00
Fontana,,LIGHT,CA,1937-08-15 21:00:00
Waterloo,,FIREBALL,AL,1939-01-06 20:00:00
Belton,RED,SPHERE,SC,1939-06-30 20:00:00
Keokuk,,OVAL,IA,1939-07-07 02:00:00
Ludington,,DISK,MI,1941-01-06 13:00:00
Forest Home,,CIRCLE,CA,1941-02-07 11:30:00
Los Angeles,,,CA,1942-02-25 00:00:00
Hapeville,,,GA,1942-01-06 22:30:00
Oneida,,RECTANGLE,TN,1942-07-15 01:00:00
Bering Sea,RED,OTHER,AK,1943-04-30 23:00:00
Nebraska,,DISK,NE,1943-01-06 15:00:00
,,,LA,1943-08-15 00:00:00
,,LIGHT,LA,1943-08-15 00:00:00
Owensboro,,RECTANGLE,KY,1943-10-15 11:00:00
Wilderness,,DISK,WV,1944-01-01 10:00:00
San Diego,,CIGAR,CA,1944-01-01 12:00:00
Wilderness,,DISK,WV,1944-01-01 12:00:00
Clovis,,DISK,NM,1944-02-04 11:00:00
Los Alamos,,DISK,NM,1944-01-06 12:00:00
Ft. Duschene,,DISK,UT,1944-06-30 10:00:00
South Kingstown,,SPHERE,RI,1944-01-07 20:00:00
North Tampa,,CYLINDER,FL,1944-07-15 13:00:00
Ft. Lee,,CIGAR,VA,1945-01-01 12:00:00
Salinas AFB,,DISK,CA,1945-01-06 12:00:00
Jasper,,FIREBALL,FL,1945-01-06 13:30:00
Winston-Salem,,DISK,NC,1945-07-06 07:00:00
Portsmouth,RED,FORMATION,VA,1945-10-07 01:30:00
Dallas,,SPHERE,TX,1945-07-15 14:00:00
Huntington Beach,,DISK,CA,1945-08-08 12:00:00
San Antonio,,OVAL,NM,1945-08-16 11:30:00
Roswell,,SPHERE,NM,1945-12-15 02:00:00
New York City,,DISK,NY,1946-08-01 02:00:00
Merced,,SPHERE,CA,1946-01-02 17:00:00
Alice,,DISK,TX,1946-03-15 15:30:00
Blairsden,GREEN,SPHERE,CA,1946-06-30 19:00:00
Index,,FIREBALL,WA,1946-06-30 21:00:00
South Portland,,OVAL,ME,1946-01-07 13:30:00
Oak Lawn,,FORMATION,IL,1946-12-09 00:00:00
Dome,,FLASH,AZ,1946-09-30 20:30:00
Conroe,,OTHER,TX,1947-10-01 20:00:00
Syracuse,,DISK,NY,1947-02-20 22:15:00
Miami,,OTHER,FL,1947-04-15 14:00:00
San Deigo,,TRIANGLE,CA,1947-04-15 23:00:00
Minden,,,LA,1947-01-06 00:00:00
Cleveland,,LIGHT,OH,1947-01-06 02:30:00
Espanola,,CIRCLE,NM,1947-01-06 17:00:00
Oroville,,,CA,1947-01-06 18:00:00
Oakmont,,,PA,1947-06-13 20:18:00
Winona,,DISK,MN,1947-06-15 10:00:00
Gackle,,OTHER,ND,1947-06-15 14:00:00
Madison,,DISK,WI,1947-06-15 18:00:00
Hayward,,CIRCLE,CA,1947-06-20 12:00:00
Tacoma,,OTHER,WA,1947-06-30 00:00:00
Baltimore,,OVAL,MD,1947-06-30 18:00:00
Cashmere,,FORMATION,WA,1947-01-07 20:00:00
Maywood,,DISK,CA,1947-01-07 20:00:00
Wexford,BLUE,,PA,1947-01-07 20:00:00
Sioux Falls,,,SD,1947-04-07 00:00:00
Seattle,,OVAL,WA,1947-04-07 17:30:00
Dell Rapids,,,SD,1947-05-07 00:00:00
Philadelphia,,DISK,PA,1947-05-07 11:30:00
Roswell,,,NM,1947-07-07 00:00:00
Johnston City,,DISK,IL,1947-09-07 20:00:00
Roswell,,,NM,1947-11-07 00:00:00
Syracuse,,CIGAR,NY,1947-07-14 10:30:00
Richmond,,CIRCLE,CA,1947-07-14 11:00:00
Las Vegas,,DISK,NV,1947-07-15 10:00:00
Keeneyville,,FORMATION,IL,1947-07-15 12:00:00
Clintwood,,CYLINDER,VA,1947-07-15 15:00:00
Hazelton,,DISK,ID,1947-07-15 15:00:00
Minneapolis,,DISK,MN,1947-07-15 17:00:00
Morehouse,,CYLINDER,MO,1947-07-15 21:00:00
San Jose,BLUE,CHEVRON,CA,1947-07-15 21:00:00
Raton,,OVAL,NM,1947-07-20 22:00:00
Modesto,BLUE,DISK,CA,1947-08-08 22:00:00
Green Valley,,,WI,1947-10-08 20:00:00
Henrietta,,LIGHT,OK,1947-12-08 01:00:00
Saranac Lake,,DISK,NY,1947-12-08 22:00:00
Proctor,,CIGAR,OK,1947-08-15 20:15:00
Whitmore Lake,,CIGAR,MI,1947-12-24 21:00:00
Kelseyville,,DISK,CA,1948-04-30 12:00:00
Scipio,RED,SPHERE,IN,1948-10-05 19:00:00
Borger,,DISK,TX,1948-06-15 16:00:00
Baltimore,,OVAL,MD,1948-06-30 00:00:00
Jim Ridge,,,WV,1948-06-30 08:00:00
Ojai,,LIGHT,CA,1948-07-15 22:00:00
New York City,,CIRCLE,NY,1948-01-08 02:00:00
Conshohocken,,OVAL,PA,1948-08-15 12:00:00
Sharpsburg,,CIRCLE,MD,1948-12-12 23:30:00
Seattle,,DISK,WA,1949-10-04 15:00:00
Oak Ridge,,OTHER,WV,1949-01-05 14:00:00
Grays,,LIGHT,SC,1949-05-15 06:30:00
Los Angeles,,CIRCLE,CT,1949-04-06 10:00:00
Anchorage,,DISK,AK,1949-10-06 21:00:00
Knoxville,,OTHER,TN,1949-06-30 15:00:00
Salem,,CIGAR,OR,1949-06-30 21:00:00
Fairbanks,,DISK,AK,1949-01-07 11:00:00
Marion,,FORMATION,AL,1949-01-07 16:00:00
Booneville,,,MS,1949-07-15 20:30:00
Excelsior,,CIRCLE,MN,1949-08-15 00:00:00
Mill Valley,,LIGHT,CA,1949-08-15 21:00:00
Tarrant City,ORANGE,CIRCLE,AL,1949-08-15 22:00:00
Steilacoom,,DISK,WA,1949-08-25 19:00:00
Mt Gilead,,CIRCLE,OH,1949-09-15 21:00:00
Post,,DISK,TX,1949-09-15 21:00:00
San Marcos,,CYLINDER,TX,1949-10-10 20:30:00
Lackland AFB,,LIGHT,TX,1949-10-10 21:00:00
Baltimore,,CIGAR,MD,1949-10-15 20:00:00
Mount Hope,,,WV,1950-01-01 22:00:00
New York City,,OVAL,NY,1950-02-01 00:00:00
Roswell,RED,,NM,1950-03-22 00:00:00
Arkansas,,DISK,AR,1950-04-15 08:00:00
Waynesborough,,DISK,VA,1950-04-15 14:00:00
Fort Lewis,,TRIANGLE,WA,1950-12-05 14:00:00
Crowder,,,MS,1950-01-06 00:00:00
Philadelphia,,DISK,MS,1950-01-06 16:00:00
Pittsburgh,,OVAL,PA,1950-01-06 20:00:00
Kensington,,OVAL,MD,1950-07-06 20:00:00
Kansas City,,DISK,MO,1950-08-06 10:00:00
Napa,GREEN,DISK,CA,1950-10-06 00:00:00
Grosse Pointe Park,,OVAL,MI,1950-06-15 13:00:00
Bonifay,,DISK,FL,1950-06-15 20:00:00
Fort Worth,,DISK,TX,1950-06-15 20:00:00
Booneville,,DISK,MS,1950-06-20 10:00:00
Galveston,,SPHERE,TX,1950-06-20 17:00:00
Lac Du Flambeau,,DISK,WI,1950-06-30 16:00:00
Florence,,DISK,CO,1950-06-30 17:30:00
Florence,,LIGHT,CO,1950-06-30 17:30:00
Coeur d'Alene,ORANGE,CIGAR,ID,1950-02-07 13:00:00
Bay St. Louis,,LIGHT,MS,1950-02-07 21:00:00
East Palestine,,LIGHT,OH,1950-10-07 20:30:00
